Date of Issue,Subject,Brief Description,url,
11-11-2013,"Foreign investment in India - participation by SEBI registered FIIs, QFIs and SEBI registered long term investors in credit enhanced bonds ","SEBI registered Foreign Institutional Investors (FIIs), Qualified Foreign Investors (QFIs) and long term investors registered with SEBI - Sovereign Wealth Funds (SWFs), Multilateral Agencies, Pension/ Insurance/ Endowment Funds, foreign Central Banks permitted to invest in the credit enhanced bonds, as per paragraph 3 and 4 of A.P. (DIR Series) Circular No. 120 dated June 26, 2013, up to a limit of USD 5 billion within the overall limit of USD 51 billion earmarked for corporate debt. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR111113Cir.pdf,
,Import of Gold by Nominated Banks /Agencies/Entities,Clarification that any  authorisation  such  as  Advance  Authorisation  (AA) /  Duty  Free  Import  Authorization  (DFIA)  is  to  be  utilised for  import  of  gold  meant  for  export purposes  only  and  no  diversion  for domestic use  shall  be  permitted.  For  any AA  /  DFIA  issued  prior  to  14th August 2013  the  condition  of  sequencing  the imports prior to exports shall not be insisted upon. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR73111113.pdf,
,Foreign Direct Investment in Financial Sector - Transfer of Shares,"Requirement of NoC(s) will be waived from the perspective of Foreign Exchange Management Act, 1999 and no such NoC(s) need to be filed along with form FC-TRS. However, any 'fit and proper/ due diligence' requirement as regards the non-resident investor as stipulated by the respective financial sector regulator shall have to be complied with. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDIR111113.pdf,
08-11-2013,Third party payments for export / import transactions,Contains list of import and export transactions for which payment may be made by a third party. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIR70APDIR081113.pdf,
,"Amendment to the ""Issue of Foreign Currency Convertible Bonds and Ordinary shares (Through Depository Receipt Mechanism) Scheme, 1993"" ","Unlisted companies incorporated in India permitted to raise capital abroad, without the requirement of prior or subsequent listing in India, initially for a period of two years, subject to the stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/69APDIR081113.pdf,
01-11-2013,Foreign Direct Investment (FDI) in India -definition of 'group company' ,"'Group company' defined as two or more enterprises which, directly or indirectly, are in position to: (i) exercise 26%, or more of voting rights in other enterprise; or (ii)  appoint  more than 50%, of  members  of board  of directors in the  other enterprise.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/ARI68011113F.pdf,
24-10-2013,"Corrigendum to Notification No. FEMA. 287/2013-RB dated September 17, 2013 ",Corrigendum replacing section 6(3)(d) with section 6(3)(e) in Section 3(i) of Part II of the gazetted notification.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CO287241213F.pdf,
18-10-2013,Memorandum of Procedure for channeling transactions through Asian Clearing Union (ACU),Only export/import transactions permitted under the ACU mechanism.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR6321102013.pdf,
14-10-2013,Closing of Old Outstanding Bills: Export-Follow-up -XOS Statements,"Old export bill may be closed by AD banks as a one time measure, provided that the case is not subject matter of any pending civil suit /criminal suit ; the exporter has not come to the adverse notice of the Directorate of Enforcement (DoE) / Central Bureau of Investigation (CBI)/Directorate of Revenue Intelligence (DRI) /any such other law enforcement agency; has no externalisation problems with the export receipient countries and the export bill falls under specified categories",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD14102013F.pdf,
10-10-2013,Overseas Foreign Currency Borrowings by Authorised Dealer Banks,"Permission granted to AD Category I banks to borrow from international / multilateral financial institutions for a limited period up to November 30, 2013.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APR61101013SF.pdf,
04-10-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Sixteenth Amendment) Regulations, 2013",Amendment to Regulation 2 with repect to the definition of 'group company'.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/292NOT011113.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fifteenth Amendment) Regulations, 2013",Amendment to Regulation 7 with respect to a Scheme of Arrangement approved by a Court.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/291NOT060114.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Thirteenth Amendment) Regulations, 2013",Amendment to Schedule 5 with respect to addition of 'credit enhanced bonds'.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT289_11112013.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fourteenth Amendment) Regulations, 2013",Clause (a) in  Regulation 10A(b)(v) deleted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT290_111113.pdf,
01-10-2013,Export Outstanding Statement (XOS) Online Bank wide Submission,"From the half year ending December 2013, XOS submission to be made online and Bank-wide instead of the present system of branch-wise submission through the respective Regional Offices of Reserve Bank of India.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/60APDIR011013.pdf,
30-09-2013,Trade Credits for Imports into India - Review of all-in-cost ceiling,"All-in-cost ceiling as specified under paragraph 4 of A.P. (DIR Series) Circular No.28 dated September 11, 2012 to continue to be applicable till March 31, 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/56APR300913FS.pdf,
,External Commercial Borrowings (ECB) Policy - Refinancing / Rescheduling of ECB,Facility for refinancing an existing ECB can raise fresh ECB at a higher all-in-cost / reschedule an existing ECB at a higher all in-cost under the approval route subject to the condition that the enhanced all-in-cost does not exceed the all-in-cost ceiling prescribed as per extant guidelines discontinued.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/59CIRAPDI30092013.pdf,
,External Commercial Borrowings (ECB) Policy ó Review of all-in-cost ceiling,"All-in-cost ceiling as specified under paragraph 2 of A.P. (DIR Series) Circular No. 99 dated March 30, 2012 to continue to be applicable till March 31, 2014",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/58APDIR300913.pdf,
,External Commercial Borrowings (ECB) Policy - ECB proceeds for acquisition of shares under the Governmentís disinvestment programme of PSUs - Clarification,"Clarified that ECB allowed for all subsequent stages of acquisition of shares in the disinvestment process under the Governmentís disinvestment programme of the PSU shares; in other words, facility of ECB available for multiple rounds of disinvestment of PSU shares under the Government disinvestment programme.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/57AIR300913FS.pdf,
26-09-2013,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange) (Fifth Amendment) Regulations, 2013","Amendment to Regulation 4 with addition of the words '""or any other entity as permitted by Reserve Bank'.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT288100913F.pdf,
25-09-2013,Overseas Foreign Currency Borrowings by Authorised Dealer Banks - Enhancement of limit,Requirement of minimum maturity lowered from 3 years to 1 year for borrowingsbeyond 50 per cent of their unimpaired Tier,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CRPD250913F.pdf,
24-09-2013,Trade Credits for Import into India,Companies in all sectors permitted to avail of trade credit not exceeding USD 20 million up to a maximum period of 5 years for import of capital goods as classified by Director General of Foreign Trade (DGFT). Also decided to  relax the ab-initio contract period of 15 (fifteen) months for all trade credits to 6 (six) months. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP53240913SF.pdf,
20-09-2013,Opening of Trading Office / Non-Trading Office / Branch Office/ Representative Office abroad,The practice of forwarding the statement in Form ORA to the respective Regional Office of Reserve Bank by the Authorized Dealers discontinued.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR230913CIR50.pdf,
,Export of Goods and Services - Project Exports,"Submission of forms DPX1, PEX-1, TCS-1 and DPX-3, to the Office of the Reserve Bank of India (Foreign Exchange Department) within whose jurisdiction the Head Office of the exporter is situated, by the Approving Authority (AA) such as AD Bank / Exim Bank/ Working Group dispensed with.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CAPDI200913F.pdf,
18-09-2013,External Commercial Borrowings (ECB) Policy - Liberalisation of definition of Infrastructure Sector,Definition of 'infrastructure sector' for the purpose of availing ECB expanded,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APR48180913F.pdf,
17-09-2013,"Foreign Exchange Management (Borrowing and Lending in Rupees) (Amendment) Regulations, 2013",Amendment of Regulation 6 with respect to use of borrowed funds.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NC287R241213.pdf,
,Overseas forex trading through electronic / internet trading portals,Restriction on online activities which are in violation of FEMA,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDI170913.pdf,
16-09-2013,Memorandum of Instructions governing money changing activities - Location of Forex Counters in International Airports in India,"Non-residents permitted to carry Indian currency upto a maximum of `.10,000/- beyond Immigration/Customs desk to the Duty Free Area/Security Hold Area (SHA) in the departure hall in international airports in India for meeting miscellaneous expenditures subject to the condition that non-residents will not be allowed to carry any Indian Rupee beyond SHA and that they should dispose of Indian currency before boarding the plane.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/45APR160913F.pdf,
13-09-2013,Foreign Direct Investment (FDI) in India - Review of FDI policy - definition for control and sector specific conditions,Definition of 'control' revised.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/44AIR130913S.pdf,
,Export of Goods and Services Simplification and Revision of Declaration Form for Exports of Goods/Softwares,A common form called Export Declaration Form- (EDF) devised to declare all types of export of goods from Non-EDI ports and a common SOFTEX Form- devised to declare single as well as bulk software exports.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/254CIR130913.pdf,
12-09-2013,"Foreign Investment in India - Guidelines for calculation of total foreign investment in Indian companies, transfer of ownership and control of Indian companies and downstream investment by Indian companies","Condition (d) of Para 6(ii) of Annex to A.P. (DIR Series) Circular No. 1 dated July 04, 2013 as regards downstream investments by an Indian company which is not owned and/or controlled by resident entity/ties.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR42120913.pdf,
10-09-2013,Overseas Direct Investment - Amendment,"Amendment to the effect that an issue of corporate guarantee on behalf of second generation or subsequent level step down operating subsidiaries to be considered under the Approval Route, provided the Indian Party indirectly holds 51% or more stake in the overseas subsidiary for which such guarantee is intended to be issued.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/API4110913FS.pdf,
